@relation MouseFeatures


@attribute Type {Left, Right, Double}
@attribute length real
@attribute speed real
@attribute accel real
@attribute jerk real
@attribute int1Len real
@attribute int2Len real
@attribute int3Len real
@attribute File {53,54,55,1,3,4,2,5,7,10,12,13,15,16,17,18,19,20,21,22,23,24,25,27,29,30,31,32,37,38,40,41,42,43,44,48,49,51,9,}
@data 
Left,78,0.0221912782,0.0000019812,0.0000000002,?,?,?,53
Left,78,0.3158765158,0.0001582548,0.0000000793,?,?,?,53
Left,78,0.4420357190,0.0003293858,0.0000002454,?,?,?,53
Left,78,0.1873274799,0.0002353360,0.0000002956,?,?,?,53
Left,62,0.4726014332,0.0001044654,0.0000000231,?,?,?,53
Left,62,0.0823731823,0.0000134006,0.0000000022,?,?,?,53
Left,78,0.0175243731,0.0000027468,0.0000000004,?,?,?,53
Left,109,0.0340557935,0.0000188154,0.0000000104,?,?,?,53
Left,62,0.2668345839,0.0001036653,0.0000000403,?,?,?,53
Left,78,0.0387912617,0.0000188399,0.0000000092,?,?,?,53
Left,94,0.0259768763,0.0000105383,0.0000000043,?,?,?,53
Left,78,0.4306698770,0.0001704273,0.0000000674,?,?,?,53
Left,93,0.0780147475,0.0000039783,0.0000000002,?,?,?,53
Left,94,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,93,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,93,0.0683913215,0.0000876812,0.0000001124,?,?,?,53
Left,62,0.3216186743,0.0001347376,0.0000000564,?,?,?,53
Left,94,0.0135499657,0.0000001529,0.0000000000,?,?,?,53
Left,93,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,63,0.2986109535,0.0000282749,0.0000000027,?,?,?,53
Left,94,0.1482435142,0.0000848560,0.0000000486,?,?,?,53
Double,468,0.1364827972,0.0000191019,0.0000000027,93,250,125,53
Right,265,0.0274721410,0.0000018596,0.0000000001,?,?,?,53
Left,94,0.0097759695,0.0000002174,0.0000000000,?,?,?,53
Left,93,0.0264464808,0.0000028207,0.0000000003,?,?,?,53
Left,93,0.0976174143,0.0000207212,0.0000000044,?,?,?,53
Left,63,0.0170706848,0.0000005036,0.0000000000,?,?,?,53
Left,109,0.1298169303,0.0000125318,0.0000000012,?,?,?,53
Left,78,0.1629136034,0.0000294174,0.0000000053,?,?,?,53
Left,109,0.0843539216,0.0000026689,0.0000000001,?,?,?,53
Left,78,0.0141329263,0.0000029804,0.0000000006,?,?,?,53
Left,78,0.0944350759,0.0001592497,0.0000002685,?,?,?,53
Left,63,0.0065441694,0.0000000837,0.0000000000,?,?,?,53
Left,93,0.4877518601,0.0001460772,0.0000000437,?,?,?,53
Left,94,0.3497098353,0.0003250091,0.0000003021,?,?,?,53
Double,390,0.0407569621,0.0000031708,0.0000000002,63,234,93,53
Left,109,0.0660847414,0.0000901565,0.0000001230,?,?,?,53
Left,109,0.0353305418,0.0000011223,0.0000000000,?,?,?,53
Right,234,0.0000000000,0.0000000000,0.0000000000,?,?,?,53
Left,109,0.0494201117,0.0000028010,0.0000000002,?,?,?,53
Left,109,0.2576116278,0.0000358192,0.0000000050,?,?,?,53
Left,62,0.0361834625,0.0000010415,0.0000000000,?,?,?,53
Double,343,0.4731531083,0.0001794966,0.0000000681,78,203,62,53
Left,78,0.4883407112,0.0001106094,0.0000000251,?,?,?,53
Left,78,0.1530030239,0.0000990952,0.0000000642,?,?,?,53
Left,62,0.4201633921,0.0001258351,0.0000000377,?,?,?,53
Double,265,0.3665506081,0.0002096971,0.0000001200,78,109,78,54
Double,234,0.0000000000,0.0000000000,0.0000000000,78,109,47,54
Double,297,0.0000000000,0.0000000000,0.0000000000,78,109,110,54
Double,437,0.0000000000,0.0000000000,0.0000000000,140,188,109,54
Double,358,0.0507956393,0.0000793682,0.0000001240,93,125,140,54
Double,265,0.3017980973,0.0002612971,0.0000002262,93,78,94,54
Double,296,0.0000000000,0.0000000000,0.0000000000,94,93,109,54
Double,297,0.0000000000,0.0000000000,0.0000000000,94,94,109,54
Left,110,0.0122944342,0.0000111061,0.0000000100,?,?,?,54
Left,109,0.0000000000,0.0000000000,0.0000000000,?,?,?,54
Double,375,0.0000000000,0.0000000000,0.0000000000,94,187,94,54
Double,328,0.0000000000,0.0000000000,0.0000000000,109,110,109,54
Double,280,0.0000000000,0.0000000000,0.0000000000,93,141,46,54
Double,328,0.0013947001,0.0000019452,0.0000000027,94,109,125,54
Left,94,0.0022883295,0.0000052365,0.0000000120,?,?,?,54
Double,328,0.0869331950,0.0003715094,0.0000015876,109,125,94,54
Double,343,0.0000000000,0.0000000000,0.0000000000,93,156,94,54
Double,406,0.0275028136,0.0000518921,0.0000000979,94,171,141,54
Double,343,0.0000000000,0.0000000000,0.0000000000,109,125,109,54
Double,359,0.0000000000,0.0000000000,0.0000000000,140,110,109,54
Double,265,0.0029193510,0.0000012815,0.0000000006,78,93,94,54
Double,265,0.0369495506,0.0000987956,0.0000002642,109,109,47,54
Double,281,0.0008547009,0.0000003653,0.0000000002,78,125,78,54
Left,94,0.1999971023,0.0005347516,0.0000014298,?,?,?,54
Double,328,0.4599905275,0.0018473515,0.0000074191,125,94,109,54
Double,312,0.0612449898,0.0000366956,0.0000000220,94,94,124,54
Double,421,0.0000000000,0.0000000000,0.0000000000,109,188,124,54
Double,327,0.1691855581,0.0001642578,0.0000001595,125,156,46,54
Left,109,0.0000000000,0.0000000000,0.0000000000,?,?,?,54
Double,453,0.0010545962,0.0000007864,0.0000000006,141,125,187,54
Double,280,0.0000000000,0.0000000000,0.0000000000,93,94,93,54
Left,94,0.2093273166,0.0011193974,0.0000059861,?,?,?,54
Double,280,0.0000000000,0.0000000000,0.0000000000,78,109,93,54
Double,328,0.0000000000,0.0000000000,0.0000000000,109,125,94,54
Left,110,0.0000000000,0.0000000000,0.0000000000,?,?,?,54
Double,374,0.4756409069,0.0016014845,0.0000053922,46,219,109,54
Double,297,0.0968933853,0.0003891301,0.0000015628,94,93,110,54
Double,359,0.0000000000,0.0000000000,0.0000000000,125,94,140,54
Double,406,0.0000000000,0.0000000000,0.0000000000,125,125,156,54
Double,297,0.1533943098,0.0000826478,0.0000000445,125,78,94,54
Double,297,0.0380196831,0.0000974864,0.0000002500,94,125,78,54
Double,312,0.8281745592,0.0035392075,0.0000151248,109,110,93,54
Double,359,0.2076565416,0.0001547366,0.0000001153,125,109,125,54
Double,405,0.0000000000,0.0000000000,0.0000000000,93,141,171,54
Double,375,0.0000000000,0.0000000000,0.0000000000,125,78,172,54
Double,281,0.0731536692,0.0000312623,0.0000000134,94,109,78,54
Double,358,0.0000000000,0.0000000000,0.0000000000,124,125,109,54
Double,358,0.0000000000,0.0000000000,0.0000000000,109,140,109,54
Double,249,0.1014301166,0.0000106410,0.0000000011,78,93,78,54
Double,266,0.0027932961,0.0000078025,0.0000000218,94,78,94,54
Double,297,0.0000000000,0.0000000000,0.0000000000,109,94,94,54
Double,312,0.0754454466,0.0001612082,0.0000003445,78,172,62,54
Left,93,0.0000000000,0.0000000000,0.0000000000,?,?,?,54
Double,312,0.1989504722,0.0010639063,0.0000056893,94,124,94,54
Double,296,0.0000000000,0.0000000000,0.0000000000,109,94,93,54
Double,374,0.0000000000,0.0000000000,0.0000000000,109,125,140,54
Double,281,0.0935979447,0.0000540716,0.0000000312,94,94,93,54
Double,358,0.0000000000,0.0000000000,0.0000000000,109,93,156,54
Double,312,0.0097022678,0.0000109137,0.0000000123,140,78,94,54
Double,406,0.0000000000,0.0000000000,0.0000000000,110,109,187,54
Double,374,0.1741176811,0.0009311106,0.0000049792,125,62,187,54
Double,312,0.0000000000,0.0000000000,0.0000000000,109,109,94,54
Left,94,0.0000000000,0.0000000000,0.0000000000,?,?,?,54
Double,296,0.0327044642,0.0001493355,0.0000006819,78,125,93,54
Double,327,0.0061902912,0.0000158725,0.0000000407,93,125,109,54
Double,296,0.0000000000,0.0000000000,0.0000000000,78,124,94,54
Double,296,0.0000000000,0.0000000000,0.0000000000,109,109,78,54
Double,375,0.0000000000,0.0000000000,0.0000000000,125,125,125,54
Double,359,0.0000000000,0.0000000000,0.0000000000,110,156,93,54
Left,94,0.0000000000,0.0000000000,0.0000000000,?,?,?,54
Double,328,0.1438962272,0.0000376495,0.0000000099,94,125,109,54
Double,359,0.0000000000,0.0000000000,0.0000000000,109,125,125,54
Double,297,0.0189526095,0.0000938248,0.0000004645,78,110,109,54
Double,375,0.0000000000,0.0000000000,0.0000000000,141,124,110,54
Double,328,0.0000000000,0.0000000000,0.0000000000,94,124,110,54
Double,343,0.0020040080,0.0000040160,0.0000000080,94,171,78,54
Double,328,0.1060815576,0.0001153060,0.0000001253,109,110,109,54
Double,312,0.0000000000,0.0000000000,0.0000000000,94,124,94,54
Double,328,0.0000000000,0.0000000000,0.0000000000,109,78,141,54
Double,328,0.0140675759,0.0000143109,0.0000000146,94,109,125,54
Double,343,0.0078128457,0.0000178784,0.0000000409,125,78,140,54
Left,109,0.0320284698,0.0001139803,0.0000004056,?,?,?,54
Double,328,0.0000000000,0.0000000000,0.0000000000,109,94,125,54
Double,344,0.0000000000,0.0000000000,0.0000000000,125,109,110,54
Double,359,0.0000000000,0.0000000000,0.0000000000,110,124,125,54
Double,390,0.0068284271,0.0000136569,0.0000000273,140,140,110,54
Double,390,0.0000000000,0.0000000000,0.0000000000,125,125,140,54
Double,250,0.0720047403,0.0000084851,0.0000000010,47,109,94,54
Double,280,0.0000000000,0.0000000000,0.0000000000,93,94,93,54
